@relation train

@attribute Document string
@attribute class-rohit {one, five}

@data
"last normal fresh strong awesome other harder",five
"appropriate clean",five
"solid brown great creamy friendly worth available",five
"great walkable minor beautiful nice",five
"packed heated new other ready proclaimed wrong awful",one
"negative many high expensive new open recent bad single stupid least concerned good personal such",one
"wonderful italian same good solid personal older okay intimate quiet blue outstanding decent red white respectable friendly intrusive sappy",five
"worse particular open less other awful",one
"",five
"such romantic last impeccable wonderful",five
"horrible 3rd ready 3pm other main small many able friendly 4th upset great whole unfriendly frustrated busy same miserable",one
"nice dependable few same new unplesant rude disrespectful flat full funny worth interesting shady other",one
"typical high able harder hot great last sad other private",five
"awful old cheap",one
"full",five
"simple big difficult extreme high frustrated ready happy present local wrong huge different due corporate good second last",one
"entire thick soggy difficult",one
"atrocious limited slow awful dry tough extra frozen delicious",one
"free bad favorite good mic pleased big",one
"such few pregnant least needless last disappointed favorite tiered lemon own communal bad",one
"whole human confident large good huge big",five
"open 00ish",one
"priciest sweet sorry usual italian smelly horrid",one
"excellent friendly",five
"young private dry few cheaper regular",one
"dirty sticky quick other usual",one
"open",one
"wrong bad extensive 6ish ready bluesy jazzy lucky",five
"perfect east good yummy liberal favorite",five
"extra crispy available popular raw",one
"great fierce nice helpful friendly interesting",five
"helpful honest questionable teenage southern busy bad new low",one
"white hispanic mexican few adventurous friendly english holy cheap delicious authentic sweet fresh abundant organic low many other great festive dang",five
"fantastic beautiful excellent",five
"reliable great other specific few middle true",five
"apt able direct okay 2nd professional clean entire new final small glad suitable",one
"good unusable decent",one
"quaint okay special last tiny slow familiar kitschy simple rustic small red mexican such bad less mediocre entire appropriate",one
"hokey dang friendly funny special huge jealous wrong",five
"western whole great spectacular",five
"last nonsensical",one
"favorite great friendly good wonderful outstanding",five
"presidential nice courteous wrong other new",one
"everyday mexican own delicous good tasty strong worth complimentary sweet delicious main great bloody fresh baked scrumptious reasonable least",five
"easy picky satisfied",five
"worth limited last different",one
"amazing friendly helpful crispy different absolute favorite hot delectable delicious fabulous",five
"upper lemon odd nice new french dry bland cold clean empty sloppy regular correct undercooked serious recent different extra cautious snotty rude inedible good incorrect smart concerned awful less loud least other upset horrible crappy frozen high appalling",one
"low delicious great small warm pleasant bad romantic fantastic good reasonable hungry bloated fresh incredible able other",five
"dry big different cleaner",one
"nice old artificial",one
"lousy tough cold watery greasy free",one
"other good great friendly fresh tasty toasty extra different separate old sweet favorite",five
"unimpressed purported aquatic largest dreadful large clean wonderful smaller worth same important",one
"wrong",one
"",five
"chinese okay pricey bland tasteless inedible expensive",one
"golden cheap low",one
"able sad horrible dirty thick gross automatic huge red notorious white worst dark small actual many defunct starry own open popular tall",one
"slow inattentive",one
"less nervous nice relevant warm outstanding usual picky adventurous unbelievable thin middle incredible fresh highest italian beautiful great important",five
"good shady cheap okay",one
"baked perfect",five
"main frequent fabulous fresh huge good biggest same bad",five
"horrible bad dirty okay",one
"great ready scared big nice non",five
"famous super busy",five
"worst prime packed ready baked okay disappointed",one
"good roasted",five
"chinese awesome asian fair east authentic delicious previous different new good greasy bloated sick second weird white frozen cheap young",five
"great wonderful",five
"new formal recent friendly helpful",five
"exquisite unique different perfect talented helpful comfortable creative incredible amazing",five
"concise friendly approachable busy stressed tremendous 5pm delicious acceptable industrial rustic full wonderful",five
"national correct optical current local",five
"neat particular older high friendly disposable regular many non good open latest nice several artificial enthusiastic ceramic reusable",five
"loyal favorite cheap flavorful 4th asian experienced disappointing foreign",one
"new regular crazy mistaken impressed unique parisian gorgeous friendly cute nice necked stereotypical huge bad okay 3rd loud impossible pre higher rude unapologetic uninterested strong able apologetic 4th several raucous drunk happy least ridiculous low spectacular worst",one
